Jurisdiction,Current social-studies credits verified,Required named courses/assessments verified,Homeschool/transfer authority consulted,Course accepted/equivalency,Reviewer,Review date,Source link or citation,Notes
Maine,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Maryland,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Massachusetts,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Michigan,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Minnesota,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Mississippi,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Missouri,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Montana,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Nebraska,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Nevada,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
New Hampshire,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
New Jersey,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
New Mexico,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
New York,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
North Carolina,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
North Dakota,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Ohio,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Oklahoma,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Oregon,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Pennsylvania,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Rhode Island,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
South Carolina,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
South Dakota,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Tennessee,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Texas,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Utah,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Vermont,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Virginia,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Washington,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
West Virginia,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Wisconsin,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
Wyoming,REVIEW CURRENT RULE,REVIEW CURRENT RULE,REVIEW CURRENT RULE,PENDING LOCAL REVIEW,,,,Do not rely on static memory; verify current law and local policy.
