Week,Unit,Focus,Essential Question,Rule,Detailed Route
24,9,Polynomial Structure & Operations,"How do polynomial operations and factoring expose structure, zeros, and geometric relationships?",Combine only like terms and distribute every factor.,units/unit-09/
25,9,Special Products & Factoring,"How do polynomial operations and factoring expose structure, zeros, and geometric relationships?","Recognize GCF, trinomial, square, and difference-of-squares patterns.",units/unit-09/
26,9,"Zeros, Factors & Polynomial Models","How do polynomial operations and factoring expose structure, zeros, and geometric relationships?",A zero makes a factor equal zero and identifies an intercept.,units/unit-09/
27,10,Quadratic Graphs & Key Features,"How do quadratic forms reveal zeros, vertices, rates of change, and maximum or minimum values?","Identify vertex, axis, intercepts, direction, and domain.",units/unit-10/
28,10,"Quadratic Forms, Factoring & Square Roots","How do quadratic forms reveal zeros, vertices, rates of change, and maximum or minimum values?",Use factored form for zeros and vertex form for extrema.,units/unit-10/
29,10,"Completing the Square, Formula & Discriminant","How do quadratic forms reveal zeros, vertices, rates of change, and maximum or minimum values?",Write standard form first and preserve exact values before approximating.,units/unit-10/
30,10,Quadratic Modelling & Model Comparison,"How do quadratic forms reveal zeros, vertices, rates of change, and maximum or minimum values?","Compare features, residuals, domain, assumptions, and purpose.",units/unit-10/
31,11,Radicals & Rational Exponents,"How do radical forms and coordinate methods connect algebra, distance, and geometric constraints?",Use principal roots and state domain restrictions.,units/unit-11/
32,11,"Coordinate Geometry, Distance & Circles","How do radical forms and coordinate methods connect algebra, distance, and geometric constraints?",Connect distance to the Pythagorean theorem and circles to center and radius.,units/unit-11/
33,12,"Study Design, Distributions & Variation",How can algebra and statistics support responsible financial and evidence-based decisions?,"Describe shape, center, spread, outliers, and sampling limitations.",units/unit-12/
34,12,"Bivariate Data, Probability & Evidence",How can algebra and statistics support responsible financial and evidence-based decisions?,Distinguish association from causation and use conditional denominators.,units/unit-12/
35,12,Financial Mathematics & Quantitative Claims,How can algebra and statistics support responsible financial and evidence-based decisions?,"Include rate, time, fees, risk, assumptions, and limitations.",units/unit-12/
36,13,Integrated Modelling Capstone & Final Examination,How can a defensible mathematical model support a real decision while acknowledging uncertainty and limits?,"Formulate, calculate, validate, test sensitivity, communicate, and defend.",units/unit-13/
