Week,Unit,Topic,Essential Question,Major Performance,Capstone Checkpoint
22,Unit 5 · International Relations and Global Governance,International Organizations and Global Governance,"When can international organizations solve collective problems, and when do power, design, or sovereignty limit them?",International Institution Effectiveness Audit,Methods and Evidence Collection Audit
23,"Unit 6 · International Law, Rights, and Human Mobility","International Law, Treaties, and Courts",How does international law create obligations without a single global sovereign?,International-Law Moot Court,
24,"Unit 6 · International Law, Rights, and Human Mobility",Human Rights and Humanitarian Principles,"How should universal rights be interpreted, protected, and enforced across diverse societies and unequal power?",Human Rights Monitoring Report,
25,"Unit 6 · International Law, Rights, and Human Mobility","Migration, Refugees, Citizenship, and Statelessness","How should states balance borders, sovereignty, labor needs, family unity, humanitarian protection, and equal dignity?",Migration and Protection Policy Analysis,
26,"Unit 7 · Development, Political Economy, and Global Challenges","Development, Poverty, and Global Inequality","How should development be measured, explained, financed, and evaluated?",Global Development Policy Brief,Annotated Bibliography II and Preliminary Analysis
27,"Unit 7 · Development, Political Economy, and Global Challenges","Global Political Economy, Trade, and Debt","Who gains, who loses, and who decides in systems of global trade, finance, investment, taxation, and debt?",Global Political Economy Data Laboratory,
28,"Unit 7 · Development, Political Economy, and Global Challenges","Climate, Resources, and Environmental Justice","How can political institutions govern environmental risks that cross borders, generations, and unequal communities?",Environmental Governance Case Study,
29,"Unit 7 · Development, Political Economy, and Global Challenges","War, Civil Conflict, and Peacebuilding","Why do conflicts begin, persist, end, and sometimes recur?",Conflict Early-Warning and Peacebuilding Analysis,
30,"Unit 7 · Development, Political Economy, and Global Challenges","Security, Terrorism, Nuclear Risk, and Cyber Conflict","How should societies address severe security threats while preserving law, evidence, proportionality, and human rights?",Global Security Council Simulation,Findings Conference and Integrity Audit
31,"Unit 8 · Technology, Health, and Senior Synthesis","Technology, AI, Surveillance, and Digital Rights","How should law and democratic governance respond when digital systems redistribute information, power, labor, privacy, and risk?",Technology Governance Public Hearing,
32,"Unit 8 · Technology, Health, and Senior Synthesis",Public Health and Humanitarian Coordination,What makes collective response legitimate and effective during cross-border health and humanitarian emergencies?,Global Emergency Response Evaluation,
33,"Unit 8 · Technology, Health, and Senior Synthesis",Capstone Evidence and Findings,"Can the student transform a documented body of evidence into transparent, appropriately qualified findings?",Capstone Findings and Limitations Portfolio,
34,"Unit 8 · Technology, Health, and Senior Synthesis",Thesis Drafting and Peer Review,"How can revision improve reasoning, evidence, organization, fairness, and academic integrity?",Complete Thesis Draft and Revision Memorandum,Complete Draft and Revision Memo
35,"Unit 8 · Technology, Health, and Senior Synthesis",Political Engagement and Public Communication,How can a graduate communicate research and engage responsibly without manipulating evidence or compelling political conformity?,Political Engagement Report and Public Presentation,
36,"Unit 8 · Technology, Health, and Senior Synthesis","Senior Thesis, Oral Defense, and Cumulative Final","Can the student independently defend a rigorous conclusion, acknowledge limits, apply four years of social studies, and satisfy every graduation gate?","Senior Thesis, Oral Defense, Cumulative Final, and Credit Review","Final Thesis, Defense, and Portfolio Audit"
