Week,Unit,Title,Period,Regions,Monday,Tuesday,Wednesday,Thursday,Friday
18,Unit 4 · Connections Across the Medieval World,Semester Review and Midterm,Cumulative through 1450,Global,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
19,Unit 5 · The Early Modern World,"Renaissance, Humanism, and Printing",c. 1300–1600 CE,Europe and Mediterranean,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
20,Unit 5 · The Early Modern World,Reformation and Religious Conflict,c. 1500–1650 CE,Europe and Atlantic,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
21,Unit 5 · The Early Modern World,"Land-Based Empires, 1450–1750",c. 1450–1750 CE,Eurasia and Africa,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
22,Unit 5 · The Early Modern World,Oceanic Exploration and the Columbian Exchange,c. 1400–1700 CE,"Atlantic, Indian, and Pacific Oceans",Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
23,Unit 5 · The Early Modern World,"Atlantic Slavery, Colonialism, and Resistance",c. 1450–1888 CE,"Africa, Atlantic, Americas, Europe",Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
24,"Unit 6 · Revolutions, Industry, and Imperialism",Enlightenment and Political Thought,c. 1600–1800 CE,"Europe, Atlantic, and Global Connections",Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
25,"Unit 6 · Revolutions, Industry, and Imperialism",Atlantic Revolutions,c. 1775–1830 CE,Atlantic World,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
26,"Unit 6 · Revolutions, Industry, and Imperialism",Industrial Revolution,c. 1750–1900 CE,"Europe, North America, and Global Economy",Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
27,"Unit 6 · Revolutions, Industry, and Imperialism","Capitalism, Socialism, Labor, and Reform",c. 1776–1914 CE,"Europe, Americas, and Global",Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
28,"Unit 6 · Revolutions, Industry, and Imperialism",Imperialism and Resistance,c. 1800–1914 CE,"Africa, Asia, Pacific, and Europe",Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
29,Unit 7 · Global Conflict and Transformation,World War I and the Russian Revolution,c. 1900–1923 CE,"Europe, Middle East, Africa, Asia",Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
30,Unit 7 · Global Conflict and Transformation,The Interwar World,c. 1919–1939 CE,Global,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
31,Unit 7 · Global Conflict and Transformation,"World War II, the Holocaust, and Genocide Studies",c. 1933–1945 CE,Global,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
32,Unit 7 · Global Conflict and Transformation,The Cold War,c. 1945–1991 CE,Global,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
33,Unit 7 · Global Conflict and Transformation,Decolonization and Human Rights,c. 1945–1994 CE,"Asia, Africa, Middle East, Caribbean",Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
34,Unit 8 · The Contemporary World and Civic Life,"Globalization, Trade, Development, and Migration",c. 1970–Present,Global,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
35,Unit 8 · The Contemporary World and Civic Life,"Comparative Government, Media Literacy, and Civic Action",Contemporary,Global and Local,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
36,Unit 8 · The Contemporary World and Civic Life,"Synthesis, Civic Capstone, and Final Examination",Cumulative,Global and Local,Frame the Inquiry,Read Like a Historian,Map and Measure,"Discuss, Debate, and Write",Synthesize and Demonstrate
