Week,Unit,Frame,Title,Essential Question,Source/Case,Model/Data Task,Seminar,Standards
21,Unit 6 · Microeconomic Foundations,Markets · curves · shifts · equilibrium,"Supply, Demand, and Market Equilibrium","How do decentralized choices create market prices, and when does a price fail to communicate the full social cost or value?",Market Shock Analysis,"Run the Verve supply-and-demand simulator and record baseline, shock, result, explanation, and model limitation.","When should government allow prices to ration scarce goods, and when should access be allocated through another rule?",SS.912.E.1.4; SS.912.E.2.4; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
22,Unit 6 · Microeconomic Foundations,Responsiveness · surplus · incidence · regulation,"Elasticity, Taxes, Controls, and Economic Welfare",Why do the same price change or tax burden affect different markets and people so differently?,Policy Graph Set,"Calculate elasticity and tax incidence from a provided scenario, showing units and interpretation.","Is a policy failure evidence that the goal was wrong, that the instrument was poorly chosen, or both?",SS.912.E.1.4; SS.912.E.2.4; SS.912.E.2.8; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
23,"Unit 7 · Firms, Labor, and Market Structure",Business organization · cost curves · innovation,"Firms, Costs, Entrepreneurship, and Competition","How do firms decide what to produce, how much to produce, and whether to enter or leave a market?",Firm Decision Case,"Construct and interpret total, average, and marginal cost schedules for a simple production scenario.","Should public policy prioritize ease of business entry even when experimentation creates consumer, worker, or environmental risk?",SS.912.E.1.5; SS.912.E.1.7; SS.912.E.2.3; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
24,"Unit 7 · Firms, Labor, and Market Structure",Competition · market power · regulation,"Market Structures, Monopoly, and Antitrust","When does firm size reflect productive success, and when does market power reduce competition, innovation, or consumer welfare?",Competition Case File,Compare the four market structures in a matrix and classify three real industries with caveats.,"Should antitrust focus mainly on consumer prices, or also on labor, innovation, political power, and resilience?",SS.912.E.1.6; SS.912.E.1.8; SS.912.E.2.6; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
25,"Unit 7 · Firms, Labor, and Market Structure",Labor supply · labor demand · productivity · institutions,"Labor Markets, Wages, and Human Capital","What determines wages, and how do education, bargaining power, discrimination, technology, and policy shape labor-market outcomes?",Wage Evidence Lab,"Graph a labor market change and explain whether labor demand, labor supply, or both shift.",What responsibilities do employers and government have when technology makes valuable skills suddenly less marketable?,SS.912.E.1.9; SS.912.E.2.5; SS.912.E.2.3; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
26,Unit 8 · Government and the National Economy,Market failure · environment · information · public provision,"Externalities, Public Goods, and Collective Action",When do private choices create public costs or benefits that justify collective action?,Externality Policy Memo,"Create a social-cost diagram and compare tax, subsidy, regulation, and cap-and-trade responses.","When should environmental harm be addressed through prices, direct limits, public investment, or prohibition?",SS.912.E.2.11; SS.912.E.3.4; SS.912.E.2.2; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
27,Unit 8 · Government and the National Economy,Revenue · appropriation · incidence · public choice,"Taxes, Public Spending, and Government Budgets","How should government raise and spend money when every tax and budget choice distributes burdens, benefits, risk, and opportunity?",Public Budget Hearing,"Calculate effective tax rates and classify several taxes as progressive, proportional, regressive, or context-dependent.",What principles should govern the distribution of taxes when public benefits cannot be assigned equally to every taxpayer?,SS.912.E.2.8; SS.912.E.2.9; SS.912.E.1.10; SS.912.CG.3.3; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
28,Unit 8 · Government and the National Economy,National accounts · real output · distribution,"Measuring an Economy: GDP, Productivity, and Living Standards","What can economic indicators reveal about well-being, and what important conditions remain invisible in a single number?",Indicator Dashboard,Convert nominal values to real values using a price index and compare total and per-capita growth.,"Should national policy target GDP growth directly, or treat growth as one means toward broader human outcomes?",SS.912.E.2.1; SS.912.E.2.5; SS.912.E.3.5; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
29,Unit 8 · Government and the National Economy,Price indexes · labor statistics · recession and recovery,"Inflation, Unemployment, and the Business Cycle","How can policymakers respond to inflation and unemployment when causes, timing, and tradeoffs differ across economic episodes?",Macro Data Brief,"Build a business-cycle timeline and classify indicators as leading, coincident, or lagging with a caution about prediction.","When inflation and unemployment pressures conflict, what evidence should determine which problem receives priority?",SS.912.E.1.12; SS.912.E.2.7; SS.912.E.3.1; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
30,Unit 9 · Macroeconomic Policy and the Global Economy,Money functions · intermediation · credit creation · risk,"Money, Banking, and the Financial System","Why does a modern economy need trusted money and financial institutions, and what failures can turn finance into a public crisis?",Bank Balance-Sheet Lab,"Diagram the flow of funds among savers, banks, borrowers, financial markets, and the central bank.","How should financial regulation balance innovation and access against fraud, instability, and moral hazard?",SS.912.E.1.13; SS.912.E.1.14; SS.912.E.2.10; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
31,Unit 9 · Macroeconomic Policy and the Global Economy,Central banking · interest rates · balance sheet · expectations,The Federal Reserve and Monetary Policy,"How does monetary policy influence inflation, employment, credit, and financial conditions without directly controlling every price or loan?",Monetary Policy Briefing,"Create a causal chain from a policy-rate change to banks, markets, spending, employment, and inflation, including at least three uncertainties.","Should elected officials have greater direct control over monetary policy, or would that weaken long-term credibility?",SS.912.E.1.11; SS.912.E.2.10; SS.912.E.1.12; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
32,Unit 9 · Macroeconomic Policy and the Global Economy,Spending · taxation · automatic stabilizers · debt sustainability,"Fiscal Policy, Deficits, and Public Debt","When should government borrow to stabilize or invest, and when do deficits create unacceptable fiscal, inflation, or intergenerational risk?",Fiscal Scenario Analysis,"Calculate annual deficits, debt accumulation, debt-to-GDP ratio, and interest-cost sensitivity using a simplified dataset.",Which public investments justify borrowing because future generations also receive the benefits?,SS.912.E.1.10; SS.912.E.2.9; SS.912.E.2.1; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
33,Unit 9 · Macroeconomic Policy and the Global Economy,Comparative advantage · trade barriers · currencies · capital flows,"International Trade, Exchange Rates, and Global Interdependence","How should nations balance gains from global exchange with security, labor, environmental, and adjustment concerns?",Trade Policy Dossier,"Calculate comparative advantage, tariff effects, and exchange-rate changes in a structured scenario.",When should national security override the efficiency gains of international specialization?,SS.912.E.3.2; SS.912.E.3.3; SS.912.E.3.5; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
34,Unit 10 · Policy Analysis and Economic Synthesis,Market · mixed · command · institutions · economic thought,Economic Systems and Political Economy,"How do societies combine markets, public authority, property, planning, and social provision to answer economic questions?",Comparative System Profile,"Create an institutional map showing how law, government, households, firms, finance, and civil society coordinate an economy.","Which economic freedoms are essential to political liberty, and which regulations can strengthen rather than weaken freedom?",SS.912.E.1.3; SS.912.E.3.5; SS.912.E.3.6; SS.912.CG.4.1; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
35,Unit 10 · Policy Analysis and Economic Synthesis,Problem definition · evidence · alternatives · implementation,Public Policy Laboratory,"How can students design a lawful, evidence-based policy without hiding uncertainty, tradeoffs, distribution, or implementation risk?",Full Policy Memorandum,"Build a decision matrix scoring at least four alternatives on effectiveness, cost, equity, rights, feasibility, speed, and reversibility.","When is it responsible to act under uncertainty, and what safeguards should accompany a policy adopted before evidence is complete?",SS.912.E.2.2; SS.912.CG.2.4; SS.912.CG.2.12; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
36,Unit 10 · Policy Analysis and Economic Synthesis,Cumulative synthesis · economics final · oral defense,Economic and Civic Capstone,"Can a student integrate constitutional authority, economic reasoning, data, stakeholder evidence, and civic responsibility into one defensible public recommendation?",Capstone Oral Defense,Complete a sensitivity analysis by changing at least three assumptions and reporting whether the recommendation survives.,What is the most important habit a graduate should use before accepting a political or economic claim?,SS.912.E.2.2; SS.912.E.2.12; SS.912.CG.2.4; SS.912.CG.2.11; D1.5.9-12; D3.1.9-12; D3.3.9-12; D4.1.9-12; RH.11-12.1; RH.11-12.7; RH.11-12.8; WHST.11-12.1
