Standard,Description,Weeks
SS.912.E.2.2,Use a decision-making model to analyze a community public-policy issue.,26;35;36
SS.912.E.2.9,"Analyze how spending and taxation affect deficits, surpluses, and national debt.",27;32
SS.912.E.1.10,"Explain fiscal policy used to promote stability, employment, and growth.",27;32
SS.912.E.3.5,Compare the U.S. economy with developed and developing nations.,28;33;34
SS.912.E.1.12,Examine the phases of the business cycle.,29;31
SS.912.E.2.7,Identify the impact of inflation on society.,29
SS.912.E.3.1,Demonstrate the impact of inflation on world economies.,29
SS.912.E.1.13,Explain functions and characteristics of money and the U.S. money supply.,30
SS.912.E.1.14,"Compare credit, saving, and investment services.",30
SS.912.E.2.10,Describe the organization and functions of the Federal Reserve System.,30;31
SS.912.E.1.11,Explain Federal Reserve monetary-policy tools and goals.,31
SS.912.E.3.3,Discuss trade barriers and free-trade zones.,33
SS.912.E.1.3,"Compare traditional, market, command, and mixed economic systems.",34
SS.912.E.3.6,Differentiate and draw conclusions about historical economic thought.,34
SS.912.CG.4.1,Analyze how liberty and economic freedom generate broad-based opportunity and prosperity.,34
