Category,Item,Points Possible,Score,Feedback
Quiz,W31 Quiz — September 11 and the War on Terror,25,,
Assignment,W32 A1 — Source Lab — From Mortgage to Systemic Crisis,20,,
Assignment,W32 A2 — Atlas and Data Investigation,20,,
Assignment,W32 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W32 Quiz — The Financial Crisis, Recovery, and Political Realignment",25,,
Assignment,W33 A1 — Source Lab — Studying Events Still in Dispute,20,,
Assignment,W33 A2 — Atlas and Data Investigation,20,,
Assignment,W33 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W33 Quiz — Contemporary America: Institutions, Movements, and Historical Distance",25,,
Assignment,W34 A1 — Source Lab — Reading a Supreme Court Case,20,,
Assignment,W34 A2 — Atlas and Data Investigation,20,,
Assignment,W34 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,W34 Quiz — The Constitution in Practice: Federalism and the Courts,25,,
Assignment,W35 A1 — Source Lab — From Claim to Public Decision,20,,
Assignment,W35 A2 — Atlas and Data Investigation,20,,
Assignment,W35 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,"W35 Quiz — Elections, Media, Public Policy, and Civic Participation",25,,
Assignment,W36 A1 — Source Lab — Capstone Evidence Hearing,20,,
Assignment,W36 A2 — Atlas and Data Investigation,20,,
Assignment,W36 A3 — Evidence-Based Seminar or Argument,30,,
Quiz,W36 Quiz — Civic Capstone and Historical Synthesis,25,,
Exam,Midterm Examination,100,,
Capstone,Civic Capstone,100,,
Exam,Cumulative Final Examination,100,,
