Week,Standard,Description,Student,Evidence,Mastery Level,Date
5,SS.912.A.1; review of pre-1877 foundations,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
5,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
5,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
5,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
5,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
5,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
5,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
6,SS.912.A.1; review of pre-1877 foundations,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
6,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
6,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
6,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
6,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
6,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
6,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
7,SS.912.A.1; review of pre-1877 foundations,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
7,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
7,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
7,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
7,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
7,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
7,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
8,SS.912.A.2,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
8,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
8,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
8,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
8,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
8,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
8,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
9,SS.912.A.2; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
9,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
9,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
9,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
9,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
9,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
9,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
10,SS.912.A.3; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
10,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
10,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
10,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
10,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
10,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
10,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
11,SS.912.A.3,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
11,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
11,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
11,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
11,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
11,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
11,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
12,SS.912.A.3; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
12,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
12,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
12,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
12,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
12,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
12,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
13,SS.912.A.3; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
13,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
13,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
13,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
13,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
13,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
13,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
14,SS.912.A.4,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
14,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
14,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
14,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
14,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
14,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
14,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
15,SS.912.A.4; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
15,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
15,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
15,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
15,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
15,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
15,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
16,SS.912.A.5; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
16,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
16,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
16,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
16,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
16,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
16,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
17,SS.912.A.5; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
17,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
17,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
17,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
17,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
17,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
17,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
18,SS.912.A.5; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
18,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
18,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
18,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
18,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
18,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
18,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
19,SS.912.A.6; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
19,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
19,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
19,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
19,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
19,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
19,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
20,SS.912.A.6; Holocaust required instruction,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
20,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
20,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
20,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
20,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
20,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
20,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
21,SS.912.A.7; History of Communism standards,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
21,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
21,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
21,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
21,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
21,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
21,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
22,SS.912.A.7; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
22,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
22,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
22,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
22,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
22,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
22,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
23,SS.912.A.7; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
23,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
23,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
23,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
23,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
23,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
23,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
24,SS.912.A.7; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
24,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
24,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
24,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
24,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
24,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
24,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
25,"SS.912.A.7; AAPI, Hispanic, women’s contributions",Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
25,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
25,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
25,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
25,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
25,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
25,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
26,SS.912.A.7; History of Communism standards,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
26,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
26,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
26,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
26,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
26,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
26,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
27,SS.912.A.7; Florida government and environmental history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
27,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
27,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
27,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
27,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
27,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
27,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
28,SS.912.A.7; History of Communism standards,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
28,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
28,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
28,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
28,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
28,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
28,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
29,SS.912.A.7; Florida history; AAPI and Hispanic contributions,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
29,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
29,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
29,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
29,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
29,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
29,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
30,SS.912.A.7; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
30,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
30,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
30,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
30,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
30,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
30,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
31,SS.912.A.7,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
31,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
31,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
31,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
31,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
31,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
31,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
32,SS.912.A.7; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
32,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
32,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
32,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
32,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
32,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
32,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
33,SS.912.A.7; media literacy and civic responsibility,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
33,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
33,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
33,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
33,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
33,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
33,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
34,Florida civics and constitutional required instruction,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
34,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
34,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
34,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
34,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
34,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
34,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
35,"Florida civics, voting, open government, and media literacy",Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
35,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
35,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
35,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
35,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
35,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
35,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
36,"Cumulative Florida, C3, literacy, and civic-learning synthesis",Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.,,,,
36,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.,,,,
36,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value.",,,,
36,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.,,,,
36,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,,,
36,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.,,,,
36,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.,,,,
