Week,Unit,Title,Period,Regions,Essential Question,Florida Alignment
14,Unit 4 · The United States and the World,American Expansion and the Spanish-American War,1890–1914,"Caribbean, Pacific, Latin America, and United States","Did overseas expansion protect American interests, extend republican ideals, or create an empire?",SS.912.A.4
15,Unit 4 · The United States and the World,World War I and the Home Front,1914–1920,Europe and United States,"How did total war expand federal power and redefine citizenship, dissent, and America’s world role?",SS.912.A.4; Florida history
16,Unit 4 · The United States and the World,"The 1920s: Mass Culture, Prosperity, and Conflict",1920–1929,United States,Was the prosperity and cultural change of the 1920s broadly shared?,SS.912.A.5; Florida history
17,Unit 4 · The United States and the World,The Great Depression and the Crisis of Confidence,1929–1933,United States and global economy,Why did an economic downturn become a prolonged social and political crisis?,SS.912.A.5; Florida history
18,Unit 4 · The United States and the World,The New Deal and the Changing Federal Government,1933–1939,United States,"How did the New Deal redefine the relationship among citizens, markets, states, and the federal government?",SS.912.A.5; Florida history
19,Unit 5 · World War II and the Early Cold War,World War II: From Neutrality to Global War,1939–1942,"Europe, Pacific, and United States",Why did the United States move from neutrality to full participation in World War II?,SS.912.A.6; Florida history
20,Unit 5 · World War II and the Early Cold War,"World War II: Mobilization, Holocaust, and Victory",1942–1945,Global,"How should a democracy evaluate military necessity, human rights, and civilian costs in total war?",SS.912.A.6; Holocaust required instruction
21,Unit 5 · World War II and the Early Cold War,Cold War Origins and the Containment State,1945–1953,"Europe, Asia, and United States",Why did the wartime alliance between the United States and Soviet Union become a global rivalry?,SS.912.A.7; History of Communism standards
22,Unit 5 · World War II and the Early Cold War,"Postwar Prosperity, Suburbia, and Unequal Opportunity",1945–1960,United States,"Who benefited from postwar prosperity, and how did public policy shape access to the American Dream?",SS.912.A.7; Florida history
23,Unit 5 · World War II and the Early Cold War,"Brown, Montgomery, and the Modern Civil Rights Movement",1941–1960,United States,"How did litigation, grassroots organizing, direct action, and federal authority interact in the struggle against segregation?",SS.912.A.7; Florida history
24,"Unit 6 · Rights, Reform, and Conflict","The Civil Rights Revolution, 1960–1968",1960–1968,United States,"Why did nonviolent protest, federal law, and grassroots organizing achieve major change while leaving inequality unresolved?",SS.912.A.7; Florida history
25,"Unit 6 · Rights, Reform, and Conflict","Great Society, Immigration Reform, and Expanding Rights",1964–1974,United States,"How did federal reform expand opportunity, and why did debates over cost, authority, and effectiveness intensify?","SS.912.A.7; AAPI, Hispanic, women’s contributions"
26,"Unit 6 · Rights, Reform, and Conflict","Vietnam: Containment, Escalation, and Protest",1945–1975,"Vietnam, Southeast Asia, and United States","Why did the United States escalate in Vietnam, and why did public support collapse?",SS.912.A.7; History of Communism standards
27,"Unit 6 · Rights, Reform, and Conflict","Watergate, Economic Change, and Environmental Politics",1968–1980,United States,How did crisis in the 1970s change public trust in government and confidence in economic growth?,SS.912.A.7; Florida government and environmental history
28,"Unit 6 · Rights, Reform, and Conflict","Conservatism, Reagan, and the End of the Cold War",1970–1991,United States and global Cold War,"Why did modern conservatism gain power, and what caused the Cold War to end?",SS.912.A.7; History of Communism standards
29,Unit 7 · Contemporary United States,"Globalization, Technology, and the New Immigration",1980–2001,United States and global networks,"How did globalization and digital technology redistribute opportunity, risk, and political power?",SS.912.A.7; Florida history; AAPI and Hispanic contributions
30,Unit 7 · Contemporary United States,Post-Cold War Politics and the 1990s,1989–2001,United States and world,Why did the end of the Cold War not produce political consensus?,SS.912.A.7; Florida history
31,Unit 7 · Contemporary United States,September 11 and the War on Terror,2001–2008,"United States, Afghanistan, Iraq, and global networks","How should a constitutional democracy respond to terrorism while protecting rights, evidence standards, and public trust?",SS.912.A.7
32,Unit 7 · Contemporary United States,"The Financial Crisis, Recovery, and Political Realignment",2007–2016,United States and global economy,"Why did financial risk become a national crisis, and why did recovery produce continuing political anger?",SS.912.A.7; Florida history
33,Unit 7 · Contemporary United States,"Contemporary America: Institutions, Movements, and Historical Distance",2016–Present,United States,"How can students study very recent events responsibly when evidence is abundant, contested, and still developing?",SS.912.A.7; media literacy and civic responsibility
34,Unit 8 · Constitutional and Civic Synthesis,The Constitution in Practice: Federalism and the Courts,1787–Present,United States and Florida,"How has constitutional meaning changed through amendment, legislation, court decisions, executive action, and civic pressure?",Florida civics and constitutional required instruction
35,Unit 8 · Constitutional and Civic Synthesis,"Elections, Media, Public Policy, and Civic Participation",Present-day institutions,"United States, Florida, and local communities","How can citizens influence public policy without sacrificing accuracy, pluralism, or constitutional rights?","Florida civics, voting, open government, and media literacy"
36,Unit 8 · Constitutional and Civic Synthesis,Civic Capstone and Historical Synthesis,1491–Present,"United States, Florida, and local community","What does responsible citizenship require from people who disagree about history, policy, and national identity?","Cumulative Florida, C3, literacy, and civic-learning synthesis"
