Week,Title,Framework Code,Description
6,"Expansion, Removal, and the Mexican-American War",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
6,"Expansion, Removal, and the Mexican-American War",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
6,"Expansion, Removal, and the Mexican-American War",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
6,"Expansion, Removal, and the Mexican-American War",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
6,"Expansion, Removal, and the Mexican-American War",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
7,"Slavery, Abolition, and Sectional Crisis",SS.912.A.1; review of pre-1877 foundations,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
7,"Slavery, Abolition, and Sectional Crisis",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
7,"Slavery, Abolition, and Sectional Crisis",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
7,"Slavery, Abolition, and Sectional Crisis",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
7,"Slavery, Abolition, and Sectional Crisis",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
7,"Slavery, Abolition, and Sectional Crisis",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
7,"Slavery, Abolition, and Sectional Crisis",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
8,"Civil War, Emancipation, and Union",SS.912.A.2,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
8,"Civil War, Emancipation, and Union",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
8,"Civil War, Emancipation, and Union",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
8,"Civil War, Emancipation, and Union",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
8,"Civil War, Emancipation, and Union",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
8,"Civil War, Emancipation, and Union",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
8,"Civil War, Emancipation, and Union",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
9,Reconstruction and the Meaning of Freedom,SS.912.A.2; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
9,Reconstruction and the Meaning of Freedom,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
9,Reconstruction and the Meaning of Freedom,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
9,Reconstruction and the Meaning of Freedom,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
9,Reconstruction and the Meaning of Freedom,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
9,Reconstruction and the Meaning of Freedom,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
9,Reconstruction and the Meaning of Freedom,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
10,"Westward Expansion, Native Sovereignty, and the New South",SS.912.A.3; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
10,"Westward Expansion, Native Sovereignty, and the New South",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
10,"Westward Expansion, Native Sovereignty, and the New South",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
10,"Westward Expansion, Native Sovereignty, and the New South",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
10,"Westward Expansion, Native Sovereignty, and the New South",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
10,"Westward Expansion, Native Sovereignty, and the New South",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
10,"Westward Expansion, Native Sovereignty, and the New South",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
11,"Industrial Capitalism, Labor, and Immigration",SS.912.A.3,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
11,"Industrial Capitalism, Labor, and Immigration",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
11,"Industrial Capitalism, Labor, and Immigration",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
11,"Industrial Capitalism, Labor, and Immigration",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
11,"Industrial Capitalism, Labor, and Immigration",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
11,"Industrial Capitalism, Labor, and Immigration",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
11,"Industrial Capitalism, Labor, and Immigration",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
12,"Gilded Age Politics, Jim Crow, and Populism",SS.912.A.3; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
12,"Gilded Age Politics, Jim Crow, and Populism",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
12,"Gilded Age Politics, Jim Crow, and Populism",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
12,"Gilded Age Politics, Jim Crow, and Populism",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
12,"Gilded Age Politics, Jim Crow, and Populism",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
12,"Gilded Age Politics, Jim Crow, and Populism",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
12,"Gilded Age Politics, Jim Crow, and Populism",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
13,Progressive Reform and the Modern State,SS.912.A.3; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
13,Progressive Reform and the Modern State,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
13,Progressive Reform and the Modern State,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
13,Progressive Reform and the Modern State,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
13,Progressive Reform and the Modern State,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
13,Progressive Reform and the Modern State,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
13,Progressive Reform and the Modern State,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
14,American Expansion and the Spanish-American War,SS.912.A.4,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
14,American Expansion and the Spanish-American War,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
14,American Expansion and the Spanish-American War,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
14,American Expansion and the Spanish-American War,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
14,American Expansion and the Spanish-American War,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
14,American Expansion and the Spanish-American War,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
14,American Expansion and the Spanish-American War,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
15,World War I and the Home Front,SS.912.A.4; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
15,World War I and the Home Front,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
15,World War I and the Home Front,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
15,World War I and the Home Front,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
15,World War I and the Home Front,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
15,World War I and the Home Front,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
15,World War I and the Home Front,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
16,"The 1920s: Mass Culture, Prosperity, and Conflict",SS.912.A.5; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
16,"The 1920s: Mass Culture, Prosperity, and Conflict",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
16,"The 1920s: Mass Culture, Prosperity, and Conflict",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
16,"The 1920s: Mass Culture, Prosperity, and Conflict",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
16,"The 1920s: Mass Culture, Prosperity, and Conflict",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
16,"The 1920s: Mass Culture, Prosperity, and Conflict",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
16,"The 1920s: Mass Culture, Prosperity, and Conflict",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
17,The Great Depression and the Crisis of Confidence,SS.912.A.5; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
17,The Great Depression and the Crisis of Confidence,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
17,The Great Depression and the Crisis of Confidence,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
17,The Great Depression and the Crisis of Confidence,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
17,The Great Depression and the Crisis of Confidence,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
17,The Great Depression and the Crisis of Confidence,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
17,The Great Depression and the Crisis of Confidence,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
18,The New Deal and the Changing Federal Government,SS.912.A.5; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
18,The New Deal and the Changing Federal Government,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
18,The New Deal and the Changing Federal Government,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
18,The New Deal and the Changing Federal Government,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
18,The New Deal and the Changing Federal Government,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
18,The New Deal and the Changing Federal Government,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
18,The New Deal and the Changing Federal Government,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
19,World War II: From Neutrality to Global War,SS.912.A.6; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
19,World War II: From Neutrality to Global War,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
19,World War II: From Neutrality to Global War,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
19,World War II: From Neutrality to Global War,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
19,World War II: From Neutrality to Global War,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
19,World War II: From Neutrality to Global War,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
19,World War II: From Neutrality to Global War,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
20,"World War II: Mobilization, Holocaust, and Victory",SS.912.A.6; Holocaust required instruction,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
20,"World War II: Mobilization, Holocaust, and Victory",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
20,"World War II: Mobilization, Holocaust, and Victory",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
20,"World War II: Mobilization, Holocaust, and Victory",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
20,"World War II: Mobilization, Holocaust, and Victory",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
20,"World War II: Mobilization, Holocaust, and Victory",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
20,"World War II: Mobilization, Holocaust, and Victory",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
21,Cold War Origins and the Containment State,SS.912.A.7; History of Communism standards,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
21,Cold War Origins and the Containment State,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
21,Cold War Origins and the Containment State,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
21,Cold War Origins and the Containment State,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
21,Cold War Origins and the Containment State,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
21,Cold War Origins and the Containment State,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
21,Cold War Origins and the Containment State,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
22,"Postwar Prosperity, Suburbia, and Unequal Opportunity",SS.912.A.7; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
22,"Postwar Prosperity, Suburbia, and Unequal Opportunity",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
22,"Postwar Prosperity, Suburbia, and Unequal Opportunity",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
22,"Postwar Prosperity, Suburbia, and Unequal Opportunity",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
22,"Postwar Prosperity, Suburbia, and Unequal Opportunity",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
22,"Postwar Prosperity, Suburbia, and Unequal Opportunity",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
22,"Postwar Prosperity, Suburbia, and Unequal Opportunity",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
23,"Brown, Montgomery, and the Modern Civil Rights Movement",SS.912.A.7; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
23,"Brown, Montgomery, and the Modern Civil Rights Movement",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
23,"Brown, Montgomery, and the Modern Civil Rights Movement",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
23,"Brown, Montgomery, and the Modern Civil Rights Movement",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
23,"Brown, Montgomery, and the Modern Civil Rights Movement",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
23,"Brown, Montgomery, and the Modern Civil Rights Movement",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
23,"Brown, Montgomery, and the Modern Civil Rights Movement",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
24,"The Civil Rights Revolution, 1960–1968",SS.912.A.7; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
24,"The Civil Rights Revolution, 1960–1968",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
24,"The Civil Rights Revolution, 1960–1968",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
24,"The Civil Rights Revolution, 1960–1968",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
24,"The Civil Rights Revolution, 1960–1968",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
24,"The Civil Rights Revolution, 1960–1968",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
24,"The Civil Rights Revolution, 1960–1968",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
25,"Great Society, Immigration Reform, and Expanding Rights","SS.912.A.7; AAPI, Hispanic, women’s contributions",Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
25,"Great Society, Immigration Reform, and Expanding Rights",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
25,"Great Society, Immigration Reform, and Expanding Rights",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
25,"Great Society, Immigration Reform, and Expanding Rights",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
25,"Great Society, Immigration Reform, and Expanding Rights",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
25,"Great Society, Immigration Reform, and Expanding Rights",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
25,"Great Society, Immigration Reform, and Expanding Rights",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
26,"Vietnam: Containment, Escalation, and Protest",SS.912.A.7; History of Communism standards,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
26,"Vietnam: Containment, Escalation, and Protest",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
26,"Vietnam: Containment, Escalation, and Protest",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
26,"Vietnam: Containment, Escalation, and Protest",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
26,"Vietnam: Containment, Escalation, and Protest",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
26,"Vietnam: Containment, Escalation, and Protest",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
26,"Vietnam: Containment, Escalation, and Protest",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
27,"Watergate, Economic Change, and Environmental Politics",SS.912.A.7; Florida government and environmental history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
27,"Watergate, Economic Change, and Environmental Politics",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
27,"Watergate, Economic Change, and Environmental Politics",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
27,"Watergate, Economic Change, and Environmental Politics",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
27,"Watergate, Economic Change, and Environmental Politics",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
27,"Watergate, Economic Change, and Environmental Politics",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
27,"Watergate, Economic Change, and Environmental Politics",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
28,"Conservatism, Reagan, and the End of the Cold War",SS.912.A.7; History of Communism standards,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
28,"Conservatism, Reagan, and the End of the Cold War",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
28,"Conservatism, Reagan, and the End of the Cold War",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
28,"Conservatism, Reagan, and the End of the Cold War",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
28,"Conservatism, Reagan, and the End of the Cold War",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
28,"Conservatism, Reagan, and the End of the Cold War",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
28,"Conservatism, Reagan, and the End of the Cold War",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
29,"Globalization, Technology, and the New Immigration",SS.912.A.7; Florida history; AAPI and Hispanic contributions,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
29,"Globalization, Technology, and the New Immigration",D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
29,"Globalization, Technology, and the New Immigration",D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
29,"Globalization, Technology, and the New Immigration",D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
29,"Globalization, Technology, and the New Immigration",CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
29,"Globalization, Technology, and the New Immigration",CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
29,"Globalization, Technology, and the New Immigration",CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
30,Post-Cold War Politics and the 1990s,SS.912.A.7; Florida history,Florida State Academic Standards for Social Studies alignment for the week’s historical content and inquiry skills.
30,Post-Cold War Politics and the 1990s,D2.His.1.9-12,Evaluate how historical events and developments were shaped by unique circumstances and broader contexts.
30,Post-Cold War Politics and the 1990s,D3.1.9-12,"Gather relevant information from multiple sources while evaluating origin, authority, context, and corroborative value."
30,Post-Cold War Politics and the 1990s,D4.1.9-12,Construct arguments using precise claims and evidence while acknowledging counterclaims.
30,Post-Cold War Politics and the 1990s,CCSS.ELA-LITERACY.RH.9-10.1,Cite specific textual evidence to support analysis of primary and secondary sources.
30,Post-Cold War Politics and the 1990s,CCSS.ELA-LITERACY.RH.9-10.7,Integrate quantitative or technical analysis with qualitative analysis.
30,Post-Cold War Politics and the 1990s,CCSS.ELA-LITERACY.WHST.9-10.1,Write arguments focused on discipline-specific content.
