Week,Topic,Standard or Skill
3,"Power, Authority, Legitimacy, and Sovereignty",AP-CGP Skill 2: Country Comparison
3,"Power, Authority, Legitimacy, and Sovereignty",AP-CGP Skill 3: Data Analysis
3,"Power, Authority, Legitimacy, and Sovereignty",AP-CGP Skill 4: Source Analysis
3,"Power, Authority, Legitimacy, and Sovereignty",AP-CGP Skill 5: Argumentation
4,Political Ideologies and Models of Justice,C3.D1.1-5.9-12
4,Political Ideologies and Models of Justice,C3.D3.1-4.9-12
4,Political Ideologies and Models of Justice,C3.D4.1-8.9-12
4,Political Ideologies and Models of Justice,CCSS.RH.11-12.1
4,Political Ideologies and Models of Justice,CCSS.RH.11-12.7
4,Political Ideologies and Models of Justice,CCSS.WHST.11-12.1
4,Political Ideologies and Models of Justice,CCSS.WHST.11-12.7-9
4,Political Ideologies and Models of Justice,C3.D2.Civ.1-14.9-12
4,Political Ideologies and Models of Justice,AP-CGP Skill 1: Concept Application
4,Political Ideologies and Models of Justice,AP-CGP Skill 2: Country Comparison
4,Political Ideologies and Models of Justice,AP-CGP Skill 3: Data Analysis
4,Political Ideologies and Models of Justice,AP-CGP Skill 4: Source Analysis
4,Political Ideologies and Models of Justice,AP-CGP Skill 5: Argumentation
5,"Regimes, Democracy, and Authoritarianism",C3.D1.1-5.9-12
5,"Regimes, Democracy, and Authoritarianism",C3.D3.1-4.9-12
5,"Regimes, Democracy, and Authoritarianism",C3.D4.1-8.9-12
5,"Regimes, Democracy, and Authoritarianism",CCSS.RH.11-12.1
5,"Regimes, Democracy, and Authoritarianism",CCSS.RH.11-12.7
5,"Regimes, Democracy, and Authoritarianism",CCSS.WHST.11-12.1
5,"Regimes, Democracy, and Authoritarianism",CCSS.WHST.11-12.7-9
5,"Regimes, Democracy, and Authoritarianism",C3.D2.Civ.1-14.9-12
5,"Regimes, Democracy, and Authoritarianism",AP-CGP Skill 1: Concept Application
5,"Regimes, Democracy, and Authoritarianism",AP-CGP Skill 2: Country Comparison
5,"Regimes, Democracy, and Authoritarianism",AP-CGP Skill 3: Data Analysis
5,"Regimes, Democracy, and Authoritarianism",AP-CGP Skill 4: Source Analysis
5,"Regimes, Democracy, and Authoritarianism",AP-CGP Skill 5: Argumentation
6,"Constitutions, Federalism, and Unitary States",C3.D1.1-5.9-12
6,"Constitutions, Federalism, and Unitary States",C3.D3.1-4.9-12
6,"Constitutions, Federalism, and Unitary States",C3.D4.1-8.9-12
6,"Constitutions, Federalism, and Unitary States",CCSS.RH.11-12.1
6,"Constitutions, Federalism, and Unitary States",CCSS.RH.11-12.7
6,"Constitutions, Federalism, and Unitary States",CCSS.WHST.11-12.1
6,"Constitutions, Federalism, and Unitary States",CCSS.WHST.11-12.7-9
6,"Constitutions, Federalism, and Unitary States",C3.D2.Civ.1-14.9-12
6,"Constitutions, Federalism, and Unitary States",AP-CGP Skill 1: Concept Application
6,"Constitutions, Federalism, and Unitary States",AP-CGP Skill 2: Country Comparison
6,"Constitutions, Federalism, and Unitary States",AP-CGP Skill 3: Data Analysis
6,"Constitutions, Federalism, and Unitary States",AP-CGP Skill 4: Source Analysis
6,"Constitutions, Federalism, and Unitary States",AP-CGP Skill 5: Argumentation
7,"Executives, Legislatures, and Bureaucracies",C3.D1.1-5.9-12
7,"Executives, Legislatures, and Bureaucracies",C3.D3.1-4.9-12
7,"Executives, Legislatures, and Bureaucracies",C3.D4.1-8.9-12
7,"Executives, Legislatures, and Bureaucracies",CCSS.RH.11-12.1
7,"Executives, Legislatures, and Bureaucracies",CCSS.RH.11-12.7
7,"Executives, Legislatures, and Bureaucracies",CCSS.WHST.11-12.1
7,"Executives, Legislatures, and Bureaucracies",CCSS.WHST.11-12.7-9
7,"Executives, Legislatures, and Bureaucracies",C3.D2.Civ.1-14.9-12
7,"Executives, Legislatures, and Bureaucracies",AP-CGP Skill 1: Concept Application
7,"Executives, Legislatures, and Bureaucracies",AP-CGP Skill 2: Country Comparison
7,"Executives, Legislatures, and Bureaucracies",AP-CGP Skill 3: Data Analysis
7,"Executives, Legislatures, and Bureaucracies",AP-CGP Skill 4: Source Analysis
7,"Executives, Legislatures, and Bureaucracies",AP-CGP Skill 5: Argumentation
8,"Courts, Rule of Law, and Accountability",C3.D1.1-5.9-12
8,"Courts, Rule of Law, and Accountability",C3.D3.1-4.9-12
8,"Courts, Rule of Law, and Accountability",C3.D4.1-8.9-12
8,"Courts, Rule of Law, and Accountability",CCSS.RH.11-12.1
8,"Courts, Rule of Law, and Accountability",CCSS.RH.11-12.7
8,"Courts, Rule of Law, and Accountability",CCSS.WHST.11-12.1
8,"Courts, Rule of Law, and Accountability",CCSS.WHST.11-12.7-9
8,"Courts, Rule of Law, and Accountability",C3.D2.Civ.1-14.9-12
8,"Courts, Rule of Law, and Accountability",AP-CGP Skill 1: Concept Application
8,"Courts, Rule of Law, and Accountability",AP-CGP Skill 2: Country Comparison
8,"Courts, Rule of Law, and Accountability",AP-CGP Skill 3: Data Analysis
8,"Courts, Rule of Law, and Accountability",AP-CGP Skill 4: Source Analysis
8,"Courts, Rule of Law, and Accountability",AP-CGP Skill 5: Argumentation
9,Parties and Electoral Systems,C3.D1.1-5.9-12
9,Parties and Electoral Systems,C3.D3.1-4.9-12
9,Parties and Electoral Systems,C3.D4.1-8.9-12
9,Parties and Electoral Systems,CCSS.RH.11-12.1
9,Parties and Electoral Systems,CCSS.RH.11-12.7
9,Parties and Electoral Systems,CCSS.WHST.11-12.1
9,Parties and Electoral Systems,CCSS.WHST.11-12.7-9
9,Parties and Electoral Systems,C3.D2.Civ.1-14.9-12
9,Parties and Electoral Systems,AP-CGP Skill 1: Concept Application
9,Parties and Electoral Systems,AP-CGP Skill 2: Country Comparison
9,Parties and Electoral Systems,AP-CGP Skill 3: Data Analysis
9,Parties and Electoral Systems,AP-CGP Skill 4: Source Analysis
9,Parties and Electoral Systems,AP-CGP Skill 5: Argumentation
10,"Voting, Representation, and Public Opinion",C3.D1.1-5.9-12
10,"Voting, Representation, and Public Opinion",C3.D3.1-4.9-12
10,"Voting, Representation, and Public Opinion",C3.D4.1-8.9-12
10,"Voting, Representation, and Public Opinion",CCSS.RH.11-12.1
10,"Voting, Representation, and Public Opinion",CCSS.RH.11-12.7
10,"Voting, Representation, and Public Opinion",CCSS.WHST.11-12.1
10,"Voting, Representation, and Public Opinion",CCSS.WHST.11-12.7-9
10,"Voting, Representation, and Public Opinion",C3.D2.Civ.1-14.9-12
10,"Voting, Representation, and Public Opinion",AP-CGP Skill 1: Concept Application
10,"Voting, Representation, and Public Opinion",AP-CGP Skill 2: Country Comparison
10,"Voting, Representation, and Public Opinion",AP-CGP Skill 3: Data Analysis
10,"Voting, Representation, and Public Opinion",AP-CGP Skill 4: Source Analysis
10,"Voting, Representation, and Public Opinion",AP-CGP Skill 5: Argumentation
11,"Civil Society, Interest Groups, and Social Movements",C3.D1.1-5.9-12
11,"Civil Society, Interest Groups, and Social Movements",C3.D3.1-4.9-12
11,"Civil Society, Interest Groups, and Social Movements",C3.D4.1-8.9-12
11,"Civil Society, Interest Groups, and Social Movements",CCSS.RH.11-12.1
11,"Civil Society, Interest Groups, and Social Movements",CCSS.RH.11-12.7
11,"Civil Society, Interest Groups, and Social Movements",CCSS.WHST.11-12.1
11,"Civil Society, Interest Groups, and Social Movements",CCSS.WHST.11-12.7-9
11,"Civil Society, Interest Groups, and Social Movements",C3.D2.Civ.1-14.9-12
11,"Civil Society, Interest Groups, and Social Movements",AP-CGP Skill 1: Concept Application
11,"Civil Society, Interest Groups, and Social Movements",AP-CGP Skill 2: Country Comparison
11,"Civil Society, Interest Groups, and Social Movements",AP-CGP Skill 3: Data Analysis
11,"Civil Society, Interest Groups, and Social Movements",AP-CGP Skill 4: Source Analysis
11,"Civil Society, Interest Groups, and Social Movements",AP-CGP Skill 5: Argumentation
12,"Media, Propaganda, and Political Communication",C3.D1.1-5.9-12
12,"Media, Propaganda, and Political Communication",C3.D3.1-4.9-12
12,"Media, Propaganda, and Political Communication",C3.D4.1-8.9-12
12,"Media, Propaganda, and Political Communication",CCSS.RH.11-12.1
12,"Media, Propaganda, and Political Communication",CCSS.RH.11-12.7
12,"Media, Propaganda, and Political Communication",CCSS.WHST.11-12.1
12,"Media, Propaganda, and Political Communication",CCSS.WHST.11-12.7-9
12,"Media, Propaganda, and Political Communication",C3.D2.Civ.1-14.9-12
12,"Media, Propaganda, and Political Communication",AP-CGP Skill 1: Concept Application
12,"Media, Propaganda, and Political Communication",AP-CGP Skill 2: Country Comparison
12,"Media, Propaganda, and Political Communication",AP-CGP Skill 3: Data Analysis
12,"Media, Propaganda, and Political Communication",AP-CGP Skill 4: Source Analysis
12,"Media, Propaganda, and Political Communication",AP-CGP Skill 5: Argumentation
13,United Kingdom and Mexico,C3.D1.1-5.9-12
13,United Kingdom and Mexico,C3.D3.1-4.9-12
13,United Kingdom and Mexico,C3.D4.1-8.9-12
13,United Kingdom and Mexico,CCSS.RH.11-12.1
13,United Kingdom and Mexico,CCSS.RH.11-12.7
13,United Kingdom and Mexico,CCSS.WHST.11-12.1
13,United Kingdom and Mexico,CCSS.WHST.11-12.7-9
13,United Kingdom and Mexico,C3.D2.Civ.1-14.9-12
13,United Kingdom and Mexico,AP-CGP Skill 1: Concept Application
13,United Kingdom and Mexico,AP-CGP Skill 2: Country Comparison
13,United Kingdom and Mexico,AP-CGP Skill 3: Data Analysis
13,United Kingdom and Mexico,AP-CGP Skill 4: Source Analysis
13,United Kingdom and Mexico,AP-CGP Skill 5: Argumentation
14,Nigeria and India,C3.D1.1-5.9-12
14,Nigeria and India,C3.D3.1-4.9-12
14,Nigeria and India,C3.D4.1-8.9-12
14,Nigeria and India,CCSS.RH.11-12.1
14,Nigeria and India,CCSS.RH.11-12.7
14,Nigeria and India,CCSS.WHST.11-12.1
14,Nigeria and India,CCSS.WHST.11-12.7-9
14,Nigeria and India,C3.D2.Civ.1-14.9-12
14,Nigeria and India,AP-CGP Skill 1: Concept Application
14,Nigeria and India,AP-CGP Skill 2: Country Comparison
14,Nigeria and India,AP-CGP Skill 3: Data Analysis
14,Nigeria and India,AP-CGP Skill 4: Source Analysis
14,Nigeria and India,AP-CGP Skill 5: Argumentation
15,China and Russia,C3.D1.1-5.9-12
15,China and Russia,C3.D3.1-4.9-12
15,China and Russia,C3.D4.1-8.9-12
15,China and Russia,CCSS.RH.11-12.1
15,China and Russia,CCSS.RH.11-12.7
15,China and Russia,CCSS.WHST.11-12.1
15,China and Russia,CCSS.WHST.11-12.7-9
15,China and Russia,C3.D2.Civ.1-14.9-12
15,China and Russia,AP-CGP Skill 1: Concept Application
15,China and Russia,AP-CGP Skill 2: Country Comparison
15,China and Russia,AP-CGP Skill 3: Data Analysis
15,China and Russia,AP-CGP Skill 4: Source Analysis
15,China and Russia,AP-CGP Skill 5: Argumentation
16,"Iran, Brazil, and South Africa",C3.D1.1-5.9-12
16,"Iran, Brazil, and South Africa",C3.D3.1-4.9-12
16,"Iran, Brazil, and South Africa",C3.D4.1-8.9-12
16,"Iran, Brazil, and South Africa",CCSS.RH.11-12.1
16,"Iran, Brazil, and South Africa",CCSS.RH.11-12.7
16,"Iran, Brazil, and South Africa",CCSS.WHST.11-12.1
16,"Iran, Brazil, and South Africa",CCSS.WHST.11-12.7-9
16,"Iran, Brazil, and South Africa",C3.D2.Civ.1-14.9-12
16,"Iran, Brazil, and South Africa",AP-CGP Skill 1: Concept Application
16,"Iran, Brazil, and South Africa",AP-CGP Skill 2: Country Comparison
16,"Iran, Brazil, and South Africa",AP-CGP Skill 3: Data Analysis
16,"Iran, Brazil, and South Africa",AP-CGP Skill 4: Source Analysis
16,"Iran, Brazil, and South Africa",AP-CGP Skill 5: Argumentation
17,Comparative Political Systems Synthesis,C3.D1.1-5.9-12
17,Comparative Political Systems Synthesis,C3.D3.1-4.9-12
17,Comparative Political Systems Synthesis,C3.D4.1-8.9-12
17,Comparative Political Systems Synthesis,CCSS.RH.11-12.1
17,Comparative Political Systems Synthesis,CCSS.RH.11-12.7
17,Comparative Political Systems Synthesis,CCSS.WHST.11-12.1
17,Comparative Political Systems Synthesis,CCSS.WHST.11-12.7-9
17,Comparative Political Systems Synthesis,C3.D2.Civ.1-14.9-12
17,Comparative Political Systems Synthesis,AP-CGP Skill 1: Concept Application
17,Comparative Political Systems Synthesis,AP-CGP Skill 2: Country Comparison
17,Comparative Political Systems Synthesis,AP-CGP Skill 3: Data Analysis
17,Comparative Political Systems Synthesis,AP-CGP Skill 4: Source Analysis
17,Comparative Political Systems Synthesis,AP-CGP Skill 5: Argumentation
18,Semester Examination and Capstone Proposal Defense,C3.D1.1-5.9-12
18,Semester Examination and Capstone Proposal Defense,C3.D3.1-4.9-12
18,Semester Examination and Capstone Proposal Defense,C3.D4.1-8.9-12
18,Semester Examination and Capstone Proposal Defense,CCSS.RH.11-12.1
18,Semester Examination and Capstone Proposal Defense,CCSS.RH.11-12.7
18,Semester Examination and Capstone Proposal Defense,CCSS.WHST.11-12.1
18,Semester Examination and Capstone Proposal Defense,CCSS.WHST.11-12.7-9
18,Semester Examination and Capstone Proposal Defense,C3.D2.Civ.1-14.9-12
18,Semester Examination and Capstone Proposal Defense,AP-CGP Skill 1: Concept Application
18,Semester Examination and Capstone Proposal Defense,AP-CGP Skill 2: Country Comparison
18,Semester Examination and Capstone Proposal Defense,AP-CGP Skill 3: Data Analysis
18,Semester Examination and Capstone Proposal Defense,AP-CGP Skill 4: Source Analysis
18,Semester Examination and Capstone Proposal Defense,AP-CGP Skill 5: Argumentation
19,International Relations Theories,C3.D1.1-5.9-12
19,International Relations Theories,C3.D3.1-4.9-12
19,International Relations Theories,C3.D4.1-8.9-12
19,International Relations Theories,CCSS.RH.11-12.1
19,International Relations Theories,CCSS.RH.11-12.7
19,International Relations Theories,CCSS.WHST.11-12.1
19,International Relations Theories,CCSS.WHST.11-12.7-9
19,International Relations Theories,C3.D2.Civ.9-14.9-12
19,International Relations Theories,C3.D2.Eco.1-15.9-12
19,International Relations Theories,C3.D2.Geo.4-12.9-12
19,International Relations Theories,AP-Research: Question and Explore
19,International Relations Theories,AP-Research: Understand and Analyze
19,International Relations Theories,AP-Research: Evaluate Sources and Evidence
19,International Relations Theories,AP-Research: Synthesize Ideas
19,International Relations Theories,AP-Research: Team/Transform/Transmit
20,Foreign Policy and National Interest,C3.D1.1-5.9-12
20,Foreign Policy and National Interest,C3.D3.1-4.9-12
20,Foreign Policy and National Interest,C3.D4.1-8.9-12
20,Foreign Policy and National Interest,CCSS.RH.11-12.1
20,Foreign Policy and National Interest,CCSS.RH.11-12.7
20,Foreign Policy and National Interest,CCSS.WHST.11-12.1
20,Foreign Policy and National Interest,CCSS.WHST.11-12.7-9
20,Foreign Policy and National Interest,C3.D2.Civ.9-14.9-12
20,Foreign Policy and National Interest,C3.D2.Eco.1-15.9-12
20,Foreign Policy and National Interest,C3.D2.Geo.4-12.9-12
20,Foreign Policy and National Interest,AP-Research: Question and Explore
20,Foreign Policy and National Interest,AP-Research: Understand and Analyze
20,Foreign Policy and National Interest,AP-Research: Evaluate Sources and Evidence
20,Foreign Policy and National Interest,AP-Research: Synthesize Ideas
20,Foreign Policy and National Interest,AP-Research: Team/Transform/Transmit
21,"Diplomacy, Negotiation, and Statecraft",C3.D1.1-5.9-12
21,"Diplomacy, Negotiation, and Statecraft",C3.D3.1-4.9-12
21,"Diplomacy, Negotiation, and Statecraft",C3.D4.1-8.9-12
21,"Diplomacy, Negotiation, and Statecraft",CCSS.RH.11-12.1
21,"Diplomacy, Negotiation, and Statecraft",CCSS.RH.11-12.7
21,"Diplomacy, Negotiation, and Statecraft",CCSS.WHST.11-12.1
21,"Diplomacy, Negotiation, and Statecraft",CCSS.WHST.11-12.7-9
21,"Diplomacy, Negotiation, and Statecraft",C3.D2.Civ.9-14.9-12
21,"Diplomacy, Negotiation, and Statecraft",C3.D2.Eco.1-15.9-12
21,"Diplomacy, Negotiation, and Statecraft",C3.D2.Geo.4-12.9-12
21,"Diplomacy, Negotiation, and Statecraft",AP-Research: Question and Explore
21,"Diplomacy, Negotiation, and Statecraft",AP-Research: Understand and Analyze
21,"Diplomacy, Negotiation, and Statecraft",AP-Research: Evaluate Sources and Evidence
21,"Diplomacy, Negotiation, and Statecraft",AP-Research: Synthesize Ideas
21,"Diplomacy, Negotiation, and Statecraft",AP-Research: Team/Transform/Transmit
22,International Organizations and Global Governance,C3.D1.1-5.9-12
22,International Organizations and Global Governance,C3.D3.1-4.9-12
22,International Organizations and Global Governance,C3.D4.1-8.9-12
22,International Organizations and Global Governance,CCSS.RH.11-12.1
22,International Organizations and Global Governance,CCSS.RH.11-12.7
22,International Organizations and Global Governance,CCSS.WHST.11-12.1
22,International Organizations and Global Governance,CCSS.WHST.11-12.7-9
22,International Organizations and Global Governance,C3.D2.Civ.9-14.9-12
22,International Organizations and Global Governance,C3.D2.Eco.1-15.9-12
22,International Organizations and Global Governance,C3.D2.Geo.4-12.9-12
22,International Organizations and Global Governance,AP-Research: Question and Explore
22,International Organizations and Global Governance,AP-Research: Understand and Analyze
22,International Organizations and Global Governance,AP-Research: Evaluate Sources and Evidence
22,International Organizations and Global Governance,AP-Research: Synthesize Ideas
22,International Organizations and Global Governance,AP-Research: Team/Transform/Transmit
23,"International Law, Treaties, and Courts",C3.D1.1-5.9-12
23,"International Law, Treaties, and Courts",C3.D3.1-4.9-12
23,"International Law, Treaties, and Courts",C3.D4.1-8.9-12
23,"International Law, Treaties, and Courts",CCSS.RH.11-12.1
23,"International Law, Treaties, and Courts",CCSS.RH.11-12.7
23,"International Law, Treaties, and Courts",CCSS.WHST.11-12.1
23,"International Law, Treaties, and Courts",CCSS.WHST.11-12.7-9
23,"International Law, Treaties, and Courts",C3.D2.Civ.9-14.9-12
23,"International Law, Treaties, and Courts",C3.D2.Eco.1-15.9-12
23,"International Law, Treaties, and Courts",C3.D2.Geo.4-12.9-12
23,"International Law, Treaties, and Courts",AP-Research: Question and Explore
23,"International Law, Treaties, and Courts",AP-Research: Understand and Analyze
23,"International Law, Treaties, and Courts",AP-Research: Evaluate Sources and Evidence
23,"International Law, Treaties, and Courts",AP-Research: Synthesize Ideas
23,"International Law, Treaties, and Courts",AP-Research: Team/Transform/Transmit
23,"International Law, Treaties, and Courts","NCSS Theme VI: Power, Authority, and Governance"
23,"International Law, Treaties, and Courts",NCSS Theme X: Civic Ideals and Practices
24,Human Rights and Humanitarian Principles,C3.D1.1-5.9-12
24,Human Rights and Humanitarian Principles,C3.D3.1-4.9-12
24,Human Rights and Humanitarian Principles,C3.D4.1-8.9-12
24,Human Rights and Humanitarian Principles,CCSS.RH.11-12.1
24,Human Rights and Humanitarian Principles,CCSS.RH.11-12.7
24,Human Rights and Humanitarian Principles,CCSS.WHST.11-12.1
24,Human Rights and Humanitarian Principles,CCSS.WHST.11-12.7-9
24,Human Rights and Humanitarian Principles,C3.D2.Civ.9-14.9-12
24,Human Rights and Humanitarian Principles,C3.D2.Eco.1-15.9-12
24,Human Rights and Humanitarian Principles,C3.D2.Geo.4-12.9-12
24,Human Rights and Humanitarian Principles,AP-Research: Question and Explore
24,Human Rights and Humanitarian Principles,AP-Research: Understand and Analyze
24,Human Rights and Humanitarian Principles,AP-Research: Evaluate Sources and Evidence
24,Human Rights and Humanitarian Principles,AP-Research: Synthesize Ideas
24,Human Rights and Humanitarian Principles,AP-Research: Team/Transform/Transmit
24,Human Rights and Humanitarian Principles,"NCSS Theme VI: Power, Authority, and Governance"
24,Human Rights and Humanitarian Principles,NCSS Theme X: Civic Ideals and Practices
25,"Migration, Refugees, Citizenship, and Statelessness",C3.D1.1-5.9-12
25,"Migration, Refugees, Citizenship, and Statelessness",C3.D3.1-4.9-12
25,"Migration, Refugees, Citizenship, and Statelessness",C3.D4.1-8.9-12
25,"Migration, Refugees, Citizenship, and Statelessness",CCSS.RH.11-12.1
25,"Migration, Refugees, Citizenship, and Statelessness",CCSS.RH.11-12.7
25,"Migration, Refugees, Citizenship, and Statelessness",CCSS.WHST.11-12.1
25,"Migration, Refugees, Citizenship, and Statelessness",CCSS.WHST.11-12.7-9
25,"Migration, Refugees, Citizenship, and Statelessness",C3.D2.Civ.9-14.9-12
25,"Migration, Refugees, Citizenship, and Statelessness",C3.D2.Eco.1-15.9-12
25,"Migration, Refugees, Citizenship, and Statelessness",C3.D2.Geo.4-12.9-12
25,"Migration, Refugees, Citizenship, and Statelessness",AP-Research: Question and Explore
25,"Migration, Refugees, Citizenship, and Statelessness",AP-Research: Understand and Analyze
25,"Migration, Refugees, Citizenship, and Statelessness",AP-Research: Evaluate Sources and Evidence
25,"Migration, Refugees, Citizenship, and Statelessness",AP-Research: Synthesize Ideas
25,"Migration, Refugees, Citizenship, and Statelessness",AP-Research: Team/Transform/Transmit
25,"Migration, Refugees, Citizenship, and Statelessness","NCSS Theme VI: Power, Authority, and Governance"
25,"Migration, Refugees, Citizenship, and Statelessness",NCSS Theme X: Civic Ideals and Practices
26,"Development, Poverty, and Global Inequality",C3.D1.1-5.9-12
26,"Development, Poverty, and Global Inequality",C3.D3.1-4.9-12
26,"Development, Poverty, and Global Inequality",C3.D4.1-8.9-12
26,"Development, Poverty, and Global Inequality",CCSS.RH.11-12.1
26,"Development, Poverty, and Global Inequality",CCSS.RH.11-12.7
26,"Development, Poverty, and Global Inequality",CCSS.WHST.11-12.1
26,"Development, Poverty, and Global Inequality",CCSS.WHST.11-12.7-9
26,"Development, Poverty, and Global Inequality",C3.D2.Civ.9-14.9-12
26,"Development, Poverty, and Global Inequality",C3.D2.Eco.1-15.9-12
26,"Development, Poverty, and Global Inequality",C3.D2.Geo.4-12.9-12
26,"Development, Poverty, and Global Inequality",AP-Research: Question and Explore
26,"Development, Poverty, and Global Inequality",AP-Research: Understand and Analyze
26,"Development, Poverty, and Global Inequality",AP-Research: Evaluate Sources and Evidence
26,"Development, Poverty, and Global Inequality",AP-Research: Synthesize Ideas
26,"Development, Poverty, and Global Inequality",AP-Research: Team/Transform/Transmit
26,"Development, Poverty, and Global Inequality","NCSS Theme VII: Production, Distribution, and Consumption"
26,"Development, Poverty, and Global Inequality",NCSS Theme IX: Global Connections
27,"Global Political Economy, Trade, and Debt",C3.D1.1-5.9-12
27,"Global Political Economy, Trade, and Debt",C3.D3.1-4.9-12
27,"Global Political Economy, Trade, and Debt",C3.D4.1-8.9-12
27,"Global Political Economy, Trade, and Debt",CCSS.RH.11-12.1
27,"Global Political Economy, Trade, and Debt",CCSS.RH.11-12.7
27,"Global Political Economy, Trade, and Debt",CCSS.WHST.11-12.1
27,"Global Political Economy, Trade, and Debt",CCSS.WHST.11-12.7-9
27,"Global Political Economy, Trade, and Debt",C3.D2.Civ.9-14.9-12
27,"Global Political Economy, Trade, and Debt",C3.D2.Eco.1-15.9-12
27,"Global Political Economy, Trade, and Debt",C3.D2.Geo.4-12.9-12
27,"Global Political Economy, Trade, and Debt",AP-Research: Question and Explore
27,"Global Political Economy, Trade, and Debt",AP-Research: Understand and Analyze
27,"Global Political Economy, Trade, and Debt",AP-Research: Evaluate Sources and Evidence
27,"Global Political Economy, Trade, and Debt",AP-Research: Synthesize Ideas
27,"Global Political Economy, Trade, and Debt",AP-Research: Team/Transform/Transmit
27,"Global Political Economy, Trade, and Debt","NCSS Theme VII: Production, Distribution, and Consumption"
27,"Global Political Economy, Trade, and Debt",NCSS Theme IX: Global Connections
28,"Climate, Resources, and Environmental Justice",C3.D1.1-5.9-12
28,"Climate, Resources, and Environmental Justice",C3.D3.1-4.9-12
28,"Climate, Resources, and Environmental Justice",C3.D4.1-8.9-12
28,"Climate, Resources, and Environmental Justice",CCSS.RH.11-12.1
28,"Climate, Resources, and Environmental Justice",CCSS.RH.11-12.7
28,"Climate, Resources, and Environmental Justice",CCSS.WHST.11-12.1
28,"Climate, Resources, and Environmental Justice",CCSS.WHST.11-12.7-9
28,"Climate, Resources, and Environmental Justice",C3.D2.Civ.9-14.9-12
28,"Climate, Resources, and Environmental Justice",C3.D2.Eco.1-15.9-12
28,"Climate, Resources, and Environmental Justice",C3.D2.Geo.4-12.9-12
28,"Climate, Resources, and Environmental Justice",AP-Research: Question and Explore
28,"Climate, Resources, and Environmental Justice",AP-Research: Understand and Analyze
28,"Climate, Resources, and Environmental Justice",AP-Research: Evaluate Sources and Evidence
28,"Climate, Resources, and Environmental Justice",AP-Research: Synthesize Ideas
28,"Climate, Resources, and Environmental Justice",AP-Research: Team/Transform/Transmit
28,"Climate, Resources, and Environmental Justice","NCSS Theme VII: Production, Distribution, and Consumption"
28,"Climate, Resources, and Environmental Justice",NCSS Theme IX: Global Connections
29,"War, Civil Conflict, and Peacebuilding",C3.D1.1-5.9-12
29,"War, Civil Conflict, and Peacebuilding",C3.D3.1-4.9-12
29,"War, Civil Conflict, and Peacebuilding",C3.D4.1-8.9-12
29,"War, Civil Conflict, and Peacebuilding",CCSS.RH.11-12.1
29,"War, Civil Conflict, and Peacebuilding",CCSS.RH.11-12.7
29,"War, Civil Conflict, and Peacebuilding",CCSS.WHST.11-12.1
