Week,Unit,Unit Title,Lesson IDs,Focus,Evidence
13,5,"Trigonometric Functions, Graphs & Periodic Models",u05-l01; u05-l02; u05-l03,"Graphing Sine and Cosine from the Unit Circle · Amplitude, Period, Midline & Phase Shift · Building Sinusoidal Equations from Graphs",Printed lessons; corrections; project or assessment evidence
14,5,"Trigonometric Functions, Graphs & Periodic Models",u05-l04; u05-l05; u05-l06,"Tangent, Cotangent & Their Asymptotes · Secant and Cosecant Graphs · Inverse Trigonometric Functions & Principal Values",Printed lessons; corrections; project or assessment evidence
15,5,"Trigonometric Functions, Graphs & Periodic Models",u05-l07; u05-l08,Sinusoidal Regression and Periodic Data · Harmonic Comparisons and Model Limitations,Printed lessons; corrections; project or assessment evidence
16,6,Trigonometric Identities & Equations,u06-l01; u06-l02; u06-l03,"Reciprocal, Quotient & Pythagorean Identities · Strategies for Verifying Identities · Sum and Difference Formulas",Printed lessons; corrections; project or assessment evidence
17,6,Trigonometric Identities & Equations,u06-l04; u06-l05; u06-l06,Double-Angle and Half-Angle Formulas · Product-to-Sum and Sum-to-Product Connections · Solving Basic Trigonometric Equations,Printed lessons; corrections; project or assessment evidence
18,6,Trigonometric Identities & Equations,u06-l07; u06-l08,"Solving Multi-Step Equations on Intervals · General Solutions, Technology & Extraneous Results",Printed lessons; corrections; project or assessment evidence
19,,Midpoint Synthesis & Formal Midterm,,"Cumulative review, corrections, portfolio conference, and 60-question midterm.",Printed lessons; corrections; project or assessment evidence
20,7,"Triangle Trigonometry, Bearings & Applications",u07-l01; u07-l02; u07-l03,Right-Triangle Trigonometry Review at Precalculus Depth · Law of Sines and the Ambiguous Case · Law of Cosines,Printed lessons; corrections; project or assessment evidence
21,7,"Triangle Trigonometry, Bearings & Applications",u07-l04; u07-l05,"Area Formulas for Oblique Triangles · Bearings, Navigation & Triangulation",Printed lessons; corrections; project or assessment evidence
22,7,"Triangle Trigonometry, Bearings & Applications",u07-l06; u07-l07,"Periodic and Triangle Models in Context · Measurement Error, Precision & Model Defense",Printed lessons; corrections; project or assessment evidence
23,8,Polar Coordinates & Complex Numbers,u08-l01; u08-l02; u08-l03,Polar Coordinates and Multiple Representations · Converting Between Polar and Cartesian Forms · Graphing Polar Curves and Symmetry,Printed lessons; corrections; project or assessment evidence
24,8,Polar Coordinates & Complex Numbers,u08-l04; u08-l05,"Complex Numbers in Rectangular and Polar Form · Multiplication, Division & Rotation in the Complex Plane",Printed lessons; corrections; project or assessment evidence
25,8,Polar Coordinates & Complex Numbers,u08-l06; u08-l07,De Moivre's Theorem and Powers · Roots of Complex Numbers & Geometric Structure,Printed lessons; corrections; project or assessment evidence
26,9,"Vectors, Parametric Equations & Motion",u09-l01; u09-l02; u09-l03,"Vectors: Magnitude, Direction & Notation · Vector Components and Resultants · Vector Operations and Linear Combinations",Printed lessons; corrections; project or assessment evidence
27,9,"Vectors, Parametric Equations & Motion",u09-l04; u09-l05,"Dot Product, Angle & Orthogonality · Parametric Equations and Eliminating the Parameter",Printed lessons; corrections; project or assessment evidence
28,9,"Vectors, Parametric Equations & Motion",u09-l06; u09-l07,"Velocity, Direction and Projectile Models · Vector and Parametric Design Applications",Printed lessons; corrections; project or assessment evidence
29,10,"Sequences, Series & Discrete Growth",u10-l01; u10-l02; u10-l03; u10-l04,"Sequences, Recursive Definitions & Explicit Rules · Arithmetic Sequences and Finite Series · Geometric Sequences and Series · Infinite Geometric Series and Convergence",Printed lessons; corrections; project or assessment evidence
30,10,"Sequences, Series & Discrete Growth",u10-l05; u10-l06; u10-l07,Sigma Notation and Series Manipulation · Binomial Theorem and Pascal Structure · Discrete Modelling and Financial Applications,Printed lessons; corrections; project or assessment evidence
31,11,"Matrices, Systems & Conic Sections",u11-l01; u11-l02; u11-l03; u11-l04,"Matrices, Dimensions & Operations · Matrix Transformations and Composition · Systems of Equations and Matrix Methods · Parabolas in Standard and Translated Forms",Printed lessons; corrections; project or assessment evidence
32,11,"Matrices, Systems & Conic Sections",u11-l05; u11-l06; u11-l07,"Ellipses and Their Geometry · Hyperbolas and Asymptotic Structure · Conic Identification, Rotation & Applications",Printed lessons; corrections; project or assessment evidence
33,12,Limits & Calculus Readiness,u12-l01; u12-l02; u12-l03,Average Rate of Change Revisited · Difference Quotients and Secant Lines · Intuitive Limits from Tables and Graphs,Printed lessons; corrections; project or assessment evidence
34,12,Limits & Calculus Readiness,u12-l04; u12-l05; u12-l06,"Limit Laws and Algebraic Evaluation · Continuity, Discontinuity & End Behavior · Instantaneous Change and Accumulation Preview",Printed lessons; corrections; project or assessment evidence
35,13,Advanced Modelling Capstone & Comprehensive Synthesis,u13-l01; u13-l02; u13-l03,"Defining a Researchable Modelling Question · Selecting Variables, Assumptions & Function Families · Collecting, Cleaning & Representing Data",Printed lessons; corrections; project or assessment evidence
36,13,Advanced Modelling Capstone & Comprehensive Synthesis,u13-l04; u13-l05; u13-l06,"Fitting, Comparing & Validating Models · Communicating Mathematics and Limitations · Oral Defense, Revision & Comprehensive Synthesis",Printed lessons; corrections; project or assessment evidence
